,x,y,z
0,-0.03727,0.07936,0.47851
1,-0.03722,0.07915,0.47797
2,-0.03728,0.07908,0.47696
3,-0.03736,0.07914,0.47761
4,-0.03722,0.07925,0.4778
5,-0.03729,0.07917,0.47679
6,-0.03722,0.07915,0.47797
7,-0.03734,0.07912,0.47816
8,-0.03735,0.07932,0.47676
9,-0.03769,0.07913,0.47813
10,-0.03748,0.07949,0.47867
11,-0.03776,0.07937,0.47791
12,-0.03729,0.07939,0.47778
13,-0.03735,0.07913,0.4766
14,-0.03769,0.07942,0.47862
15,-0.03751,0.07913,0.47704
16,-0.03748,0.07929,0.47849
17,-0.03729,0.0792,0.47761
18,-0.03776,0.07956,0.47864
19,-0.0374,0.07936,0.4785
20,-0.03755,0.07925,0.47832
21,-0.03762,0.0792,0.47814
22,-0.03773,0.07955,0.47919
23,-0.0374,0.07955,0.47867
24,-0.03766,0.0794,0.47918
25,-0.0378,0.07959,0.47877
26,-0.03737,0.07944,0.4774
27,-0.03773,0.07964,0.47893
28,-0.03754,0.07945,0.4783
29,-0.03769,0.07965,0.47814
30,-0.03748,0.07929,0.47849
31,-0.03762,0.07939,0.47831
32,-0.03769,0.07924,0.47774
33,-0.03753,0.07943,0.47747
34,-0.03773,0.07955,0.47919
35,-0.03783,0.07952,0.47846
36,-0.03747,0.07971,0.47871
37,-0.03769,0.07944,0.47792
38,-0.03755,0.07955,0.4781
39,-0.03773,0.07955,0.47919
40,-0.03762,0.07971,0.47814
41,-0.03755,0.07976,0.47832
42,-0.03733,0.07983,0.4789
43,-0.03755,0.07976,0.47832
44,-0.0378,0.0798,0.47901
45,-0.03729,0.07971,0.47762
46,-0.03729,0.07971,0.47762
47,-0.03768,0.07984,0.47887
48,-0.03729,0.07971,0.47762
49,-0.0374,0.08007,0.47868
50,-0.03761,0.07968,0.4773
51,-0.03747,0.07971,0.47871
52,-0.03747,0.07971,0.47871
53,-0.03755,0.07976,0.47832
54,-0.03755,0.07976,0.47832
55,-0.03762,0.0798,0.47791
56,-0.03754,0.07986,0.47867
57,-0.03755,0.07976,0.47832
58,-0.03769,0.07975,0.47774
59,-0.03762,0.07971,0.47814
60,-0.03753,0.07983,0.47785
61,-0.03755,0.07976,0.47832
62,-0.03801,0.07983,0.47939
63,-0.03747,0.07991,0.47887
64,-0.03754,0.07986,0.47867
65,-0.03755,0.07995,0.4785
66,-0.03761,0.07988,0.47747
67,-0.03755,0.07995,0.4785
68,-0.03786,0.07992,0.47816
69,-0.03753,0.07994,0.47748
70,-0.03768,0.08003,0.47749
71,-0.03787,0.07995,0.47902
72,-0.03762,0.07971,0.47814
73,-0.03788,0.07995,0.47745
