,x,y,z
0,-0.01193,0.16955,0.71563
1,-0.01229,0.17002,0.71779
2,-0.01229,0.17002,0.71779
3,-0.012,0.16939,0.71555
4,-0.01195,0.16979,0.71564
5,-0.01203,0.16962,0.71552
6,-0.01195,0.16979,0.71564
7,-0.01195,0.16979,0.71564
8,-0.01195,0.16979,0.71564
9,-0.01197,0.17002,0.71563
10,-0.01197,0.17002,0.71563
11,-0.01197,0.17002,0.71563
12,-0.01197,0.17002,0.71563
13,-0.01197,0.17002,0.71563
14,-0.01197,0.17002,0.71563
15,-0.01195,0.17021,0.71546
16,-0.01197,0.17002,0.71563
17,-0.01195,0.17021,0.71546
18,-0.01195,0.17021,0.71546
19,-0.01195,0.17021,0.71546
20,-0.01214,0.16957,0.7132
21,-0.01214,0.16957,0.7132
22,-0.01195,0.17021,0.71546
23,-0.01195,0.17021,0.71546
24,-0.01195,0.17021,0.71546
25,-0.01187,0.17036,0.71552
26,-0.01195,0.17021,0.71546
27,-0.01207,0.16974,0.71333
28,-0.01214,0.16993,0.71353
29,-0.01207,0.16974,0.71333
30,-0.01214,0.16993,0.71353
31,-0.01194,0.17,0.71428
32,-0.01187,0.17036,0.71552
33,-0.01194,0.17,0.71428
34,-0.01207,0.16974,0.71333
35,-0.01195,0.17057,0.71577
36,-0.01232,0.17056,0.71539
37,-0.0124,0.17075,0.71558
38,-0.01212,0.17012,0.71336
39,-0.01221,0.17141,0.71789
40,-0.01212,0.17012,0.71336
41,-0.01192,0.17075,0.71559
42,-0.0124,0.17075,0.71558
43,-0.0124,0.17075,0.71558
44,-0.01212,0.17012,0.71336
45,-0.01212,0.17012,0.71336
46,-0.01212,0.17012,0.71336
47,-0.01192,0.17075,0.71559
48,-0.01192,0.17075,0.71559
49,-0.01192,0.17075,0.71559
50,-0.01212,0.17012,0.71336
51,-0.01212,0.17012,0.71336
52,-0.01212,0.17012,0.71336
53,-0.01196,0.16985,0.71235
54,-0.01212,0.17012,0.71336
55,-0.01212,0.17012,0.71336
56,-0.01214,0.17034,0.71334
57,-0.01212,0.17012,0.71336
58,-0.01212,0.17012,0.71336
59,-0.01212,0.17012,0.71336
60,-0.01192,0.17075,0.71559
61,-0.01195,0.17099,0.71559
62,-0.01212,0.17012,0.71336
63,-0.01212,0.17012,0.71336
64,-0.01195,0.17099,0.71559
65,-0.01195,0.17099,0.71559
66,-0.01212,0.17012,0.71336
67,-0.01195,0.17099,0.71559
68,-0.01195,0.17099,0.71559
69,-0.01212,0.17012,0.71336
70,-0.01195,0.17099,0.71559
71,-0.01195,0.17099,0.71559
72,-0.01195,0.17099,0.71559
73,-0.01202,0.17117,0.71578
74,-0.01195,0.17099,0.71559
75,-0.01202,0.17117,0.71578
76,-0.01172,0.17089,0.71473
77,-0.01214,0.17034,0.71334
