,x,y,z
0,-0.08434,0.08686,0.48238
1,-0.08436,0.08681,0.48224
2,-0.08417,0.08682,0.48289
3,-0.08422,0.08701,0.48255
4,-0.08412,0.08681,0.48199
5,-0.08441,0.08682,0.48316
6,-0.08425,0.08693,0.48238
7,-0.0841,0.08679,0.48123
8,-0.0841,0.08686,0.4821
9,-0.0842,0.08728,0.48216
10,-0.08424,0.08729,0.48303
11,-0.08441,0.08682,0.48316
12,-0.08436,0.08681,0.48224
13,-0.08404,0.0872,0.48255
14,-0.08411,0.0874,0.48297
15,-0.08406,0.08722,0.48333
16,-0.08404,0.08711,0.48159
17,-0.08415,0.08709,0.48251
18,-0.0842,0.0871,0.4834
19,-0.08407,0.08739,0.48209
20,-0.08411,0.0874,0.48297
21,-0.08427,0.0872,0.48204
22,-0.08414,0.08716,0.48339
23,-0.0841,0.08714,0.48249
24,-0.08426,0.08755,0.48345
25,-0.08426,0.08755,0.48345
26,-0.0841,0.08714,0.48249
27,-0.08415,0.08733,0.48215
28,-0.08415,0.08733,0.48215
29,-0.08426,0.08747,0.48242
30,-0.08402,0.0872,0.48243
31,-0.08415,0.08733,0.48215
32,-0.08431,0.08739,0.48237
33,-0.08431,0.08722,0.48361
34,-0.08407,0.08739,0.48209
35,-0.08442,0.08735,0.4832
36,-0.08442,0.08735,0.4832
37,-0.08409,0.08741,0.48287
38,-0.08389,0.08715,0.48308
39,-0.08442,0.08735,0.4832
40,-0.08456,0.08739,0.48199
41,-0.08417,0.08761,0.48263
42,-0.08442,0.08735,0.4832
43,-0.08419,0.08734,0.48303
44,-0.08435,0.08732,0.48153
45,-0.08417,0.08761,0.48263
46,-0.08434,0.08715,0.48276
47,-0.08415,0.08733,0.48215
48,-0.0844,0.08733,0.48244
49,-0.08456,0.08739,0.48199
50,-0.08458,0.08765,0.48241
51,-0.08415,0.08733,0.48215
52,-0.08422,0.08754,0.48258
53,-0.08417,0.08761,0.48263
54,-0.08389,0.08748,0.48112
55,-0.08434,0.08738,0.48242
56,-0.08422,0.08754,0.48258
57,-0.0841,0.08714,0.48249
58,-0.08442,0.08752,0.48198
59,-0.08417,0.08761,0.48263
60,-0.08428,0.08746,0.4831
61,-0.0842,0.08763,0.48344
62,-0.08434,0.08738,0.48242
63,-0.08417,0.08735,0.48293
64,-0.08415,0.08762,0.48255
65,-0.08412,0.08733,0.48203
66,-0.0842,0.0878,0.48219
67,-0.08442,0.08759,0.48285
68,-0.08436,0.08793,0.48266
69,-0.0842,0.0878,0.48219
70,-0.08442,0.08735,0.4832
71,-0.0842,0.0878,0.48219
72,-0.08406,0.08774,0.48337
73,-0.08426,0.08771,0.4821
74,-0.08458,0.08765,0.48241
75,-0.0843,0.08737,0.48151
76,-0.08405,0.08737,0.48125
77,-0.08409,0.0871,0.48099
78,-0.08403,0.08734,0.48048
79,-0.08409,0.08701,0.48004
80,-0.08396,0.08714,0.48005
81,-0.08396,0.08714,0.48005
82,-0.08404,0.08708,0.48011
83,-0.08409,0.0871,0.48099
84,-0.08404,0.08708,0.48011
85,-0.08403,0.08734,0.48048
86,-0.08403,0.08734,0.48048
87,-0.08396,0.08714,0.48005
88,-0.08403,0.08734,0.48048
89,-0.08404,0.08708,0.48011
90,-0.08401,0.08715,0.48093
91,-0.08396,0.08714,0.48005
92,-0.0841,0.08674,0.47967
93,-0.08402,0.0868,0.47961
94,-0.08426,0.08681,0.47986
95,-0.08394,0.08686,0.47955
96,-0.08406,0.08682,0.48049
