,x,y,z
0,-0.16699,0.18739,0.73314
1,-0.16699,0.18739,0.73314
2,-0.16699,0.18739,0.73314
3,-0.16663,0.18684,0.73063
4,-0.16699,0.18739,0.73314
5,-0.16699,0.18739,0.73314
6,-0.16643,0.187,0.73146
7,-0.16679,0.18728,0.73148
8,-0.16623,0.18688,0.72979
9,-0.16623,0.18688,0.72979
10,-0.16659,0.18713,0.73026
11,-0.16659,0.18713,0.73026
12,-0.16664,0.18736,0.7307
13,-0.16664,0.18736,0.7307
14,-0.16664,0.18736,0.7307
15,-0.16664,0.18736,0.7307
16,-0.16664,0.18736,0.7307
17,-0.167,0.18791,0.73321
18,-0.16664,0.18736,0.7307
19,-0.167,0.18791,0.73321
20,-0.16664,0.18736,0.7307
21,-0.167,0.18791,0.73321
22,-0.16734,0.18813,0.73355
23,-0.16659,0.18765,0.73033
24,-0.16715,0.18804,0.73199
25,-0.16715,0.18804,0.73199
26,-0.16715,0.18804,0.73199
27,-0.16659,0.18765,0.73033
28,-0.16659,0.18765,0.73033
29,-0.16657,0.1879,0.73027
30,-0.16657,0.1879,0.73027
31,-0.16657,0.1879,0.73027
32,-0.16657,0.1879,0.73027
33,-0.16657,0.1879,0.73027
34,-0.16657,0.1879,0.73027
35,-0.16657,0.1879,0.73027
36,-0.16662,0.18813,0.73071
37,-0.16657,0.1879,0.73027
38,-0.16662,0.18813,0.73071
39,-0.16662,0.18813,0.73071
40,-0.16662,0.18813,0.73071
41,-0.16662,0.18813,0.73071
42,-0.16662,0.18813,0.73071
43,-0.16601,0.18751,0.72859
44,-0.16662,0.18813,0.73071
45,-0.16662,0.18813,0.73071
46,-0.16662,0.18813,0.73071
47,-0.16662,0.18813,0.73071
48,-0.16662,0.18813,0.73071
49,-0.16662,0.18813,0.73071
50,-0.16606,0.18774,0.72904
51,-0.16662,0.18813,0.73071
52,-0.16662,0.18813,0.73071
53,-0.16606,0.18774,0.72904
54,-0.16662,0.18813,0.73071
55,-0.16662,0.18813,0.73071
56,-0.16662,0.18813,0.73071
57,-0.1666,0.18837,0.73064
58,-0.16724,0.18888,0.73236
59,-0.16662,0.18813,0.73071
60,-0.16662,0.18813,0.73071
61,-0.16662,0.18813,0.73071
62,-0.1666,0.18837,0.73064
63,-0.16666,0.18801,0.73033
64,-0.16662,0.18813,0.73071
65,-0.16662,0.18813,0.73071
66,-0.16606,0.18774,0.72904
67,-0.16696,0.18803,0.73032
68,-0.16699,0.1885,0.73069
69,-0.16663,0.18825,0.73023
70,-0.16699,0.1885,0.73069
71,-0.16694,0.18861,0.73105
72,-0.16699,0.1885,0.73069
73,-0.16699,0.1885,0.73069
74,-0.16663,0.18825,0.73023
75,-0.1666,0.18837,0.73064
76,-0.16699,0.1885,0.73069
77,-0.16731,0.18916,0.73353
78,-0.16736,0.18939,0.73398
79,-0.1668,0.18866,0.73152
80,-0.16683,0.18891,0.73149
81,-0.16699,0.1885,0.73069
82,-0.16736,0.18906,0.73319
83,-0.16715,0.18895,0.73156
84,-0.16643,0.18811,0.72902
85,-0.16643,0.18811,0.72902
86,-0.16659,0.18855,0.72989
87,-0.16659,0.18855,0.72989
88,-0.16659,0.18855,0.72989
89,-0.16664,0.18878,0.73033
90,-0.16715,0.18895,0.73156
