,x,y,z
0,0.01202,0.28939,1.05543
1,0.01202,0.28939,1.05543
2,0.01202,0.28898,1.05289
3,0.01202,0.28939,1.05543
4,0.01202,0.28939,1.05543
5,0.01202,0.28939,1.05543
6,0.01202,0.28939,1.05543
7,0.01203,0.28957,1.05396
8,0.01238,0.29056,1.05752
9,0.01203,0.28957,1.05396
10,0.01203,0.28957,1.05396
11,0.01203,0.28957,1.05396
12,0.01203,0.28957,1.05396
13,0.01239,0.29115,1.05855
14,0.01246,0.28633,1.04137
15,0.01222,0.28689,1.04237
16,0.01245,0.2863,1.04028
17,0.01261,0.29004,1.0526
18,0.01281,0.28786,1.04483
19,0.01261,0.29004,1.0526
20,0.01261,0.29004,1.0526
21,0.01281,0.28786,1.04483
22,0.01246,0.28688,1.04133
23,0.01246,0.28688,1.04133
24,0.01226,0.29007,1.05176
25,0.01226,0.28904,1.04906
26,0.01226,0.29007,1.05176
27,0.01246,0.28789,1.04399
28,0.01246,0.28789,1.04399
29,0.01246,0.28789,1.04399
30,0.01246,0.28789,1.04399
31,0.01246,0.28789,1.04399
32,0.01246,0.28789,1.04399
33,0.01226,0.29007,1.05176
34,0.01246,0.28789,1.04399
35,0.01223,0.28855,1.04634
36,0.01223,0.28855,1.04634
37,0.01223,0.28855,1.04634
38,0.01246,0.28882,1.04637
39,0.01203,0.29074,1.05414
40,0.01246,0.28789,1.04399
41,0.01223,0.28855,1.04634
42,0.01223,0.28855,1.04634
43,0.01223,0.28855,1.04634
44,0.01223,0.28957,1.049
45,0.01246,0.28882,1.04637
46,0.01223,0.28957,1.049
47,0.01259,0.29012,1.05087
48,0.01223,0.28957,1.049
49,0.01223,0.28957,1.049
50,0.01223,0.28957,1.049
51,0.01259,0.29123,1.05387
52,0.01238,0.29176,1.05568
53,0.01259,0.29123,1.05387
54,0.01259,0.29123,1.05387
55,0.01239,0.29298,1.05907
56,0.01239,0.29298,1.05907
57,0.01203,0.29196,1.05545
58,0.01239,0.29298,1.05907
59,0.01282,0.29053,1.05044
60,0.01239,0.29298,1.05907
61,0.01262,0.29234,1.05584
62,0.01262,0.29234,1.05584
63,0.01262,0.29234,1.05584
64,0.01238,0.29293,1.05792
65,0.01226,0.29124,1.05193
66,0.01223,0.29012,1.04897
67,0.01245,0.28807,1.04065
68,0.01226,0.29124,1.05193
69,0.01239,0.29298,1.05907
70,0.01238,0.29293,1.05792
71,0.01262,0.29234,1.05584
72,0.01226,0.29124,1.05193
73,0.01223,0.29012,1.04897
74,0.01262,0.29234,1.05584
75,0.01238,0.29293,1.05792
76,0.01203,0.29192,1.05433
77,0.01246,0.28938,1.04634
78,0.01226,0.29124,1.05193
79,0.01203,0.29192,1.05433
80,0.01226,0.29124,1.05193
81,0.01203,0.29192,1.05433
82,0.01203,0.29192,1.05433
83,0.01226,0.29124,1.05193
84,0.01226,0.29124,1.05193
85,0.01203,0.29192,1.05433
86,0.01226,0.29124,1.05193
87,0.01223,0.29012,1.04897
88,0.01203,0.29192,1.05433
89,0.01203,0.29192,1.05433
90,0.01247,0.28923,1.04278
91,0.01223,0.28972,1.04652
92,0.01226,0.29079,1.04834
93,0.01239,0.29295,1.0559
94,0.01203,0.29192,1.05433
95,0.01226,0.29124,1.05193
96,0.01226,0.29124,1.05193
97,0.01226,0.29124,1.05193
98,0.01281,0.2902,1.04522
99,0.01239,0.29351,1.05896
100,0.01239,0.29295,1.0559
101,0.01282,0.29067,1.04793
102,0.01203,0.29144,1.05159
103,0.01246,0.28862,1.04064
104,0.01226,0.29079,1.04834
105,0.01239,0.29295,1.0559
106,0.01246,0.28862,1.04064
107,0.01262,0.29245,1.05415
108,0.01262,0.2924,1.053
109,0.01262,0.2924,1.053
110,0.01259,0.29129,1.05107
111,0.01259,0.29129,1.05107
112,0.01246,0.28862,1.04064
113,0.01239,0.29295,1.0559
114,0.01259,0.29129,1.05107
115,0.01247,0.28923,1.04278
116,0.01224,0.29029,1.04753
117,0.01246,0.28862,1.04064
118,0.01262,0.2924,1.053
119,0.01258,0.29074,1.0481
120,0.01246,0.2892,1.0417
121,0.01262,0.2924,1.053
122,0.01247,0.2896,1.04413
123,0.01226,0.29138,1.04942
124,0.01246,0.2892,1.0417
125,0.01282,0.29067,1.04793
126,0.01246,0.2892,1.0417
127,0.01262,0.2924,1.053
128,0.01226,0.29138,1.04942
129,0.01247,0.2896,1.04413
130,0.01246,0.2892,1.0417
131,0.01224,0.29029,1.04753
132,0.01282,0.29067,1.04793
133,0.01247,0.2896,1.04413
134,0.01246,0.2892,1.0417
135,0.01247,0.2896,1.04413
136,0.01226,0.29138,1.04942
137,0.01246,0.2892,1.0417
138,0.01246,0.2892,1.0417
139,0.01246,0.2892,1.0417
140,0.01246,0.2892,1.0417
141,0.01247,0.29021,1.04432
142,0.01246,0.2892,1.0417
143,0.01246,0.2892,1.0417
144,0.01246,0.2892,1.0417
145,0.01246,0.2892,1.0417
146,0.01226,0.29138,1.04942
147,0.01247,0.29021,1.04432
148,0.01246,0.2892,1.0417
149,0.01246,0.2892,1.0417
150,0.01246,0.2892,1.0417
151,0.01246,0.2892,1.0417
152,0.01246,0.2892,1.0417
153,0.01246,0.2892,1.0417
154,0.01247,0.29053,1.0465
155,0.01246,0.2892,1.0417
156,0.01247,0.29021,1.04432
157,0.01247,0.29021,1.04432
158,0.01247,0.29021,1.04432
159,0.01247,0.29021,1.04432
160,0.01246,0.2892,1.0417
161,0.01247,0.29021,1.04432
162,0.01247,0.29021,1.04432
163,0.01246,0.2892,1.0417
164,0.01247,0.29021,1.04432
165,0.01247,0.29021,1.04432
166,0.01246,0.2892,1.0417
167,0.01247,0.29021,1.04432
168,0.01247,0.29021,1.04432
