,x,y,z
0,0.19052,0.24494,0.64411
1,0.19046,0.24517,0.64439
2,0.19055,0.24512,0.64434
3,0.19055,0.24512,0.64434
4,0.19029,0.24492,0.64294
5,0.19029,0.24492,0.64294
6,0.19029,0.24492,0.64294
7,0.18994,0.24497,0.64249
8,0.18994,0.24497,0.64249
9,0.18994,0.24497,0.64249
10,0.18994,0.24497,0.64249
11,0.1901,0.24564,0.644
12,0.1901,0.24564,0.644
13,0.18997,0.24516,0.64271
14,0.18899,0.2453,0.64288
15,0.18899,0.2453,0.64288
16,0.18899,0.2453,0.64288
17,0.18878,0.2451,0.64205
18,0.18895,0.24553,0.64272
19,0.18895,0.24553,0.64272
20,0.1893,0.2457,0.64324
21,0.18895,0.24553,0.64272
22,0.1889,0.24599,0.64308
23,0.1889,0.24599,0.64308
24,0.18898,0.24594,0.64302
25,0.18898,0.24594,0.64302
26,0.18898,0.24594,0.64302
27,0.18898,0.24594,0.64302
28,0.18898,0.24594,0.64302
29,0.18898,0.24594,0.64302
30,0.18898,0.24594,0.64302
31,0.18898,0.24594,0.64302
32,0.18877,0.24575,0.64218
33,0.18898,0.24594,0.64302
34,0.18877,0.24575,0.64218
35,0.18877,0.24575,0.64218
36,0.18886,0.2457,0.64211
37,0.18877,0.24575,0.64218
38,0.18877,0.24575,0.64218
39,0.18877,0.24575,0.64218
40,0.18877,0.24575,0.64218
41,0.18894,0.24617,0.64285
42,0.18877,0.24575,0.64218
43,0.18894,0.24617,0.64285
44,0.18877,0.24575,0.64218
45,0.18894,0.24617,0.64285
46,0.18877,0.24575,0.64218
47,0.18877,0.24575,0.64218
48,0.18877,0.24575,0.64218
49,0.18877,0.24575,0.64218
50,0.18894,0.24617,0.64285
51,0.18894,0.24617,0.64285
52,0.18894,0.24617,0.64285
53,0.18894,0.24617,0.64285
54,0.18894,0.24617,0.64285
55,0.18894,0.24617,0.64285
56,0.18894,0.24617,0.64285
57,0.18888,0.24641,0.64314
58,0.18897,0.24636,0.64308
59,0.18888,0.24641,0.64314
