,x,y,z
0,-0.03168,0.15106,0.71052
1,-0.03168,0.15106,0.71052
2,-0.03149,0.15102,0.71088
3,-0.03168,0.15106,0.71052
4,-0.03125,0.15103,0.71036
5,-0.03168,0.15106,0.71052
6,-0.03168,0.15106,0.71052
7,-0.03143,0.15107,0.70998
8,-0.03168,0.15106,0.71052
9,-0.03168,0.15106,0.71052
10,-0.03143,0.15107,0.70998
11,-0.0314,0.15126,0.70989
12,-0.03143,0.15147,0.70982
13,-0.03127,0.1519,0.71137
14,-0.03143,0.15147,0.70982
15,-0.03143,0.15147,0.70982
16,-0.03146,0.15127,0.7099
17,-0.03143,0.15147,0.70982
18,-0.03143,0.15147,0.70982
19,-0.03127,0.1519,0.71137
20,-0.03159,0.15163,0.71044
21,-0.03143,0.15147,0.70982
22,-0.03159,0.15163,0.71044
23,-0.03146,0.15226,0.7119
24,-0.03143,0.15147,0.70982
25,-0.03146,0.15226,0.7119
26,-0.03162,0.15183,0.71036
27,-0.03122,0.15227,0.71138
28,-0.0313,0.1521,0.71129
29,-0.03119,0.15246,0.71127
30,-0.03143,0.15246,0.71179
31,-0.03158,0.15203,0.71026
32,-0.03134,0.15203,0.70974
33,-0.03134,0.15203,0.70974
34,-0.03134,0.15203,0.70974
35,-0.03119,0.15246,0.71127
36,-0.03134,0.15203,0.70974
37,-0.03134,0.15203,0.70974
38,-0.03134,0.15203,0.70974
39,-0.03143,0.15223,0.70998
40,-0.03134,0.15203,0.70974
41,-0.03103,0.15159,0.70813
42,-0.03134,0.15203,0.70974
43,-0.03111,0.15179,0.70839
44,-0.03143,0.15223,0.70998
45,-0.03111,0.15179,0.70839
46,-0.03134,0.15203,0.70974
47,-0.03111,0.15179,0.70839
48,-0.03106,0.1514,0.70824
49,-0.03143,0.15223,0.70998
50,-0.03103,0.15159,0.70813
51,-0.03103,0.15159,0.70813
52,-0.03143,0.15223,0.70998
53,-0.03111,0.15179,0.70839
54,-0.03103,0.15159,0.70813
55,-0.03111,0.15179,0.70839
56,-0.03134,0.15203,0.70974
57,-0.03143,0.15223,0.70998
58,-0.03111,0.15179,0.70839
59,-0.03111,0.15179,0.70839
60,-0.03111,0.15179,0.70839
61,-0.03111,0.15179,0.70839
62,-0.03111,0.15179,0.70839
63,-0.03111,0.15179,0.70839
64,-0.03143,0.15223,0.70998
65,-0.03111,0.15179,0.70839
66,-0.03111,0.15179,0.70839
67,-0.03111,0.15179,0.70839
68,-0.03111,0.15179,0.70839
69,-0.03111,0.15179,0.70839
70,-0.03111,0.15179,0.70839
71,-0.03111,0.15179,0.70839
72,-0.03111,0.15179,0.70839
73,-0.03111,0.15179,0.70839
74,-0.03111,0.15179,0.70839
75,-0.03111,0.15179,0.70839
76,-0.03111,0.15179,0.70839
77,-0.03111,0.15179,0.70839
78,-0.03111,0.15179,0.70839
79,-0.03111,0.15179,0.70839
80,-0.03111,0.15179,0.70839
81,-0.03114,0.152,0.70831
82,-0.03111,0.15179,0.70839
83,-0.03114,0.152,0.70831
84,-0.03098,0.15242,0.70984
85,-0.03098,0.15242,0.70984
86,-0.03114,0.152,0.70831
87,-0.03114,0.15258,0.71044
88,-0.0313,0.15216,0.70893
89,-0.0313,0.15216,0.70893
90,-0.03114,0.152,0.70831
91,-0.0313,0.15216,0.70893
92,-0.03143,0.15323,0.71196
93,-0.0313,0.15216,0.70893
94,-0.03098,0.15242,0.70984
95,-0.0313,0.15216,0.70893
96,-0.03114,0.15258,0.71044
97,-0.03119,0.15323,0.71144
98,-0.03134,0.15197,0.70903
99,-0.03134,0.1528,0.70991
100,-0.03114,0.152,0.70831
101,-0.03143,0.153,0.71015
102,-0.0313,0.15216,0.70893
103,-0.03119,0.15323,0.71144
104,-0.03134,0.1528,0.70991
105,-0.03143,0.153,0.71015
106,-0.03123,0.15278,0.7107
107,-0.03143,0.153,0.71015
108,-0.03114,0.15258,0.71044
109,-0.03152,0.15343,0.71222
110,-0.03134,0.1528,0.70991
111,-0.03143,0.153,0.71015
112,-0.03134,0.1528,0.70991
113,-0.03114,0.152,0.70831
114,-0.03134,0.1528,0.70991
115,-0.03134,0.1528,0.70991
116,-0.03134,0.1528,0.70991
117,-0.03138,0.15236,0.70917
118,-0.03134,0.1528,0.70991
119,-0.03114,0.15237,0.70865
120,-0.03134,0.1528,0.70991
121,-0.03134,0.1528,0.70991
122,-0.03138,0.15236,0.70917
123,-0.03114,0.15237,0.70865
