,x,y,z
0,-0.68923,-0.11889,1.94562
1,-0.68923,-0.11889,1.94562
2,-0.68923,-0.11889,1.94562
3,-0.68923,-0.11889,1.94562
4,-0.68923,-0.11889,1.94562
5,-0.68923,-0.11889,1.94562
6,-0.68923,-0.11889,1.94562
7,-0.68923,-0.11889,1.94562
8,-0.68923,-0.11889,1.94562
9,-0.68923,-0.11889,1.94562
10,-0.68923,-0.11889,1.94562
11,-0.68923,-0.11889,1.94562
12,-0.68923,-0.11889,1.94562
13,-0.68923,-0.11889,1.94562
14,-0.68923,-0.11889,1.94562
15,-0.68923,-0.11889,1.94562
16,-0.68923,-0.11889,1.94562
17,-0.68923,-0.11889,1.94562
18,-0.68923,-0.11889,1.94562
19,-0.68923,-0.11889,1.94562
20,-0.68923,-0.11889,1.94562
21,-0.68923,-0.11889,1.94562
22,-0.68923,-0.11889,1.94562
23,-0.68923,-0.11889,1.94562
24,-0.68923,-0.11889,1.94562
25,-0.68923,-0.11889,1.94562
26,-0.68923,-0.11889,1.94562
27,-0.68923,-0.11889,1.94562
28,-0.68923,-0.11889,1.94562
29,-0.68923,-0.11889,1.94562
30,-0.68923,-0.11889,1.94562
31,-0.68923,-0.11889,1.94562
32,-0.68923,-0.11889,1.94562
33,-0.68553,-0.11774,1.93497
34,-0.68923,-0.11889,1.94562
35,-0.68553,-0.11774,1.93497
36,-0.68923,-0.11889,1.94562
37,-0.68553,-0.11774,1.93497
38,-0.68553,-0.11774,1.93497
39,-0.68553,-0.11774,1.93497
40,-0.68553,-0.11774,1.93497
41,-0.68553,-0.11774,1.93497
42,-0.68553,-0.11774,1.93497
43,-0.68553,-0.11774,1.93497
44,-0.68553,-0.11774,1.93497
45,-0.68553,-0.11774,1.93497
46,-0.68553,-0.11774,1.93497
47,-0.68553,-0.11774,1.93497
48,-0.68553,-0.11774,1.93497
49,-0.68553,-0.11774,1.93497
50,-0.68553,-0.11774,1.93497
51,-0.68553,-0.11774,1.93497
52,-0.68553,-0.11774,1.93497
53,-0.68553,-0.11774,1.93497
54,-0.68553,-0.11774,1.93497
55,-0.68553,-0.11774,1.93497
56,-0.68553,-0.11774,1.93497
57,-0.68553,-0.11774,1.93497
58,-0.68989,-0.11797,1.94756
59,-0.68989,-0.11797,1.94756
60,-0.68989,-0.11797,1.94756
61,-0.68989,-0.11797,1.94756
62,-0.68989,-0.11797,1.94756
63,-0.68989,-0.11797,1.94756
64,-0.68989,-0.11797,1.94756
65,-0.68989,-0.11797,1.94756
66,-0.68989,-0.11797,1.94756
67,-0.68553,-0.11774,1.93497
68,-0.68989,-0.11797,1.94756
69,-0.68989,-0.11797,1.94756
70,-0.68989,-0.11797,1.94756
71,-0.68553,-0.11774,1.93497
72,-0.68553,-0.11774,1.93497
73,-0.68989,-0.11797,1.94756
74,-0.68553,-0.11774,1.93497
75,-0.68553,-0.11774,1.93497
76,-0.68989,-0.11797,1.94756
