,x,y,z
0,0.01763,0.1711,0.70649
1,0.01763,0.1711,0.70649
2,0.01763,0.1711,0.70649
3,0.01758,0.1709,0.70634
4,0.01763,0.1711,0.70649
5,0.01763,0.1711,0.70649
6,0.01763,0.1711,0.70649
7,0.01763,0.1711,0.70649
8,0.01749,0.17188,0.7086
9,0.01749,0.17188,0.7086
10,0.01749,0.17188,0.7086
11,0.01765,0.17129,0.70644
12,0.01749,0.17188,0.7086
13,0.01765,0.17129,0.70644
14,0.01765,0.17129,0.70644
15,0.01765,0.17129,0.70644
16,0.01765,0.17129,0.70644
17,0.01765,0.17129,0.70644
18,0.01765,0.17129,0.70644
19,0.01765,0.17129,0.70644
20,0.01765,0.17129,0.70644
21,0.01765,0.17129,0.70644
22,0.01765,0.17129,0.70644
23,0.01765,0.17129,0.70644
24,0.01751,0.17208,0.70855
25,0.01751,0.17208,0.70855
26,0.01751,0.17208,0.70855
27,0.01749,0.17228,0.70849
28,0.01749,0.17228,0.70849
29,0.01749,0.17228,0.70849
30,0.01749,0.17228,0.70849
31,0.01749,0.17228,0.70849
32,0.01749,0.17228,0.70849
33,0.01749,0.17228,0.70849
34,0.01765,0.17168,0.70633
35,0.01749,0.17228,0.70849
36,0.01783,0.17198,0.70742
37,0.01783,0.17198,0.70742
38,0.01765,0.17168,0.70633
39,0.01766,0.17257,0.70955
40,0.01783,0.17198,0.70742
41,0.01766,0.17257,0.70955
42,0.01761,0.17187,0.70644
43,0.01761,0.17187,0.70644
44,0.01761,0.17187,0.70644
45,0.01761,0.17187,0.70644
46,0.01761,0.17187,0.70644
47,0.01761,0.17187,0.70644
48,0.01761,0.17187,0.70644
49,0.01761,0.17187,0.70644
50,0.01761,0.17187,0.70644
51,0.01761,0.17187,0.70644
52,0.01761,0.17187,0.70644
53,0.01761,0.17187,0.70644
54,0.01761,0.17187,0.70644
55,0.01761,0.17187,0.70644
56,0.01761,0.17187,0.70644
57,0.01761,0.17187,0.70644
58,0.01761,0.17187,0.70644
59,0.01761,0.17187,0.70644
60,0.01761,0.17187,0.70644
61,0.01761,0.17187,0.70644
62,0.01761,0.17187,0.70644
63,0.01761,0.17187,0.70644
64,0.01761,0.17187,0.70644
65,0.01761,0.17187,0.70644
66,0.01761,0.17187,0.70644
67,0.01761,0.17187,0.70644
68,0.01761,0.17187,0.70644
69,0.01761,0.17187,0.70644
70,0.01761,0.17187,0.70644
71,0.01758,0.17205,0.70634
72,0.01761,0.17187,0.70644
73,0.01766,0.17206,0.70656
74,0.01761,0.17187,0.70644
75,0.01761,0.17187,0.70644
76,0.01758,0.17205,0.70634
77,0.01761,0.17187,0.70644
78,0.01758,0.17205,0.70634
79,0.01761,0.17187,0.70644
80,0.01761,0.17187,0.70644
81,0.01761,0.17187,0.70644
82,0.01758,0.17205,0.70634
83,0.01761,0.17187,0.70644
84,0.01761,0.17187,0.70644
85,0.01758,0.17205,0.70634
86,0.01758,0.17205,0.70634
87,0.01758,0.17205,0.70634
88,0.01761,0.17187,0.70644
89,0.01758,0.17205,0.70634
90,0.01758,0.17205,0.70634
91,0.01758,0.17205,0.70634
92,0.01763,0.17225,0.7065
93,0.01758,0.17205,0.70634
94,0.01758,0.17205,0.70634
95,0.01775,0.17234,0.70738
96,0.01758,0.17205,0.70634
97,0.01775,0.17234,0.70738
98,0.01775,0.17234,0.70738
99,0.01775,0.17234,0.70738
100,0.01758,0.17205,0.70634
101,0.01758,0.17205,0.70634
102,0.01758,0.17205,0.70634
103,0.01758,0.17205,0.70634
104,0.01758,0.17205,0.70634
105,0.01758,0.17205,0.70634
106,0.01758,0.17205,0.70634
107,0.01775,0.17234,0.70738
108,0.01763,0.17225,0.7065
109,0.01775,0.17234,0.70738
110,0.01781,0.17255,0.70758
111,0.01753,0.17223,0.7064
112,0.01775,0.17234,0.70738
113,0.01775,0.17234,0.70738
114,0.01775,0.17234,0.70738
115,0.01775,0.17234,0.70738
116,0.01775,0.17234,0.70738
117,0.01775,0.17234,0.70738
